ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80_84,F_85_89,F_90_94,F_95_99,F_100Plus,F_Unstated,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80_84,M_85_89,M_90_94,M_95_99,M_100Plus,M_Unstated,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80_84,T_85_89,T_90_94,T_95_99,T_100Plus,T_Unstated,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Isiolo,KE011,128483,139510,267993,20172,20076,18425,14146,12281,10040,9044,5884,4327,3276,2455,2395,1960,1212,1185,523,555,245,165,75,42,0,20445,21069,20489,17008,12442,10436,9506,6803,5454,3847,3023,2435,2441,1399,1237,589,457,225,129,47,28,1,40617,41145,38914,31154,24723,20476,18550,12687,9781,7123,5478,4830,4401,2611,2422,1112,1012,470,294,122,70,1,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Meru,KE012,777975,767698,1545673,84878,87068,97080,83385,67176,56462,60428,50953,41124,35146,23349,23555,18641,15419,13682,6713,6074,3217,1901,926,784,14,85384,87982,97842,81866,64934,56368,57082,53003,44922,35815,24760,22436,17297,14021,10957,5294,3909,2071,926,518,295,16,170262,175050,194922,165251,132110,112830,117510,103956,86046,70961,48109,45991,35938,29440,24639,12007,9983,5288,2827,1444,1079,30,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Tharaka-Nithi,KE013,199406,193764,393170,20215,21488,23884,21153,16256,13789,14618,12283,10499,10095,6737,7050,5576,4848,4295,2303,1874,1208,570,417,243,5,20169,21714,24240,21548,15386,13060,13294,12140,10749,9895,7012,6864,5531,4345,3365,1780,1271,777,311,221,87,5,40384,43202,48124,42701,31642,26849,27912,24423,21248,19990,13749,13914,11107,9193,7660,4083,3145,1985,881,638,330,10,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Embu,KE014,304367,304208,608575,30389,30246,33553,30933,26230,21978,23511,20592,17609,15036,12655,11553,7785,6885,5652,3133,2814,1664,1191,598,357,3,31158,30623,34415,32531,26611,23182,23223,21514,18717,15450,12077,10836,7389,6470,4141,2220,1775,1019,463,270,120,4,61547,60869,67968,63464,52841,45160,46734,42106,36326,30486,24732,22389,15174,13355,9793,5353,4589,2683,1654,868,477,7,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Kitui,KE015,587151,549003,1136154,62618,71465,85722,73603,45732,36234,38444,30672,27583,25769,18102,15928,13472,12418,11751,5970,5325,2604,2372,880,481,6,63572,73007,87724,77545,42988,31275,30247,26006,23761,21883,15717,13776,11532,10209,7705,4549,3591,1876,1206,558,272,4,126190,144472,173446,151148,88720,67509,68691,56678,51344,47652,33819,29704,25004,22627,19456,10519,8916,4480,3578,1438,753,10,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Machakos,KE016,711191,710707,1421898,72770,74089,82134,71840,65975,58769,57783,47027,40046,30876,23562,21631,18549,15250,10993,6914,5364,3267,2510,1193,643,6,74088,76471,84081,75280,65216,58218,56392,48810,41665,34014,23944,20955,18177,12831,8979,4167,3572,1799,1175,579,282,12,146858,150560,166215,147120,131191,116987,114175,95837,81711,64890,47506,42586,36726,28081,19972,11081,8936,5066,3685,1772,925,18,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Makueni,KE017,497942,489691,987633,47692,54843,67449,58927,38517,33047,34578,28496,25171,24309,16432,15467,14219,12723,9551,5691,4433,2614,2378,856,545,4,48733,56559,68944,63932,41258,32837,31681,28031,24757,22546,16128,13776,12605,10276,7478,3680,2974,1551,1030,603,308,4,96425,111402,136393,122859,79775,65884,66259,56527,49928,46855,32560,29243,26824,22999,17029,9371,7407,4165,3408,1459,853,8,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Nyandarua,KE018,323247,315022,638269,34632,36940,40333,36135,24244,20089,22409,20476,18189,16761,13932,11505,7193,5951,5344,4229,2249,1384,684,373,194,1,35356,37963,42540,39433,24219,18837,19622,18748,16905,15468,12802,10751,6859,5368,4334,2485,1771,885,407,192,73,4,69988,74903,82873,75568,48463,38926,42031,39224,35094,32229,26734,22256,14052,11319,9678,6714,4020,2269,1091,565,267,5,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Nyeri,KE019,384845,374288,759133,36082,37313,37479,35558,29391,25279,28205,27229,24202,21794,20024,16562,11207,9507,9208,6447,4254,2496,1452,750,401,5,37016,37766,39043,37969,29778,24018,26380,25905,23836,21774,18644,15916,10311,8661,7986,3991,2855,1386,641,317,90,5,73098,75079,76522,73527,59169,49297,54585,53134,48038,43568,38668,32478,21518,18168,17194,10438,7109,3882,2093,1067,491,10,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,KE,Kirinyaga,KE020,308369,302011,610380,28655,28536,30395,28432,23586,21433,25634,24698,21154,17714,14573,12485,7956,6982,6053,3239,2892,1610,1223,624,490,5,28836,28749,30601,29637,23042,20721,24114,24522,21621,18253,14939,12496,7918,6445,4631,2225,1547,916,459,220,115,4,57491,57285,60996,58069,46628,42154,49748,49220,42775,35967,29512,24981,15874,13427,10684,5464,4439,2526,1682,844,605,9,,,,,,,,,,,,,,,,,,,,,,,,
